local,X1,X2,X3,X4,X5,X6,X7,X8,P1symprot,P1symcarb,P1symlip,P1volume,P1chlacell,P1STsigma,P1STp,P1STETR,P1density,P1grossPhotocell,P1tauAve,P1MTtauAve,P1MTfvfm,P1mtNPQ
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,2,NPA2-4,t,0.000462507,1.21E-06,0.000118577,504.6808703,3.278474446,210,0.05,295972.95,983742.9485,3.07E-09,1825,25676,0.546017699,0.452842505
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,3,NPA3-4,t,0.000362852,1.08E-06,0.000103053,524.3697274,2.409414642,183,0.05,188479.4775,1234798.111,2.12E-09,1939,28918,0.531761364,0.525298384
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,4,NPA4-4,t,0.000394613,6.49E-07,0.000173619,507.744739,2.237288909,217,0.05,310543.926,1125845.723,1.69E-09,1653,21907,0.562252846,0.696656473
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,5,NPA5-4,t,0.000350056,5.45E-07,0.000102714,535.8726682,3.387869033,202,0.06,282507.807,1004923.318,3.38E-09,1429,24829,0.541812227,0.680188792
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,6,NPA6-4,t,0.000385676,8.65E-07,7.48E-05,406.6249333,2.593774832,168,0.07,284134.032,1093271.823,2.33E-09,1682,29623,0.532614057,0.656902045
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,7,NPA7-4,t,0.000525015,8.25E-07,0.000240038,408.8194871,2.094922621,197,0.05,352402.9575,964127.87,1.29E-09,2015,26041,0.502882353,0.627423137
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,8,NPA8-4,t,0.000451731,1.11E-06,0.000115906,513.7709361,4.458387302,178,0.05,326134.003,925325.1384,3.22E-09,1607,25098,0.568027211,0.535613194
COffshorePachyseris,C,Offshore,Pachyseris,C40-sp,10,1,OPA1-4,t,0.000332679,5.97E-07,0.000471641,744.5491661,3.863777221,168,0.06,293240.892,949049.5461,2.83E-09,1164,21683,0.612840985,0.5225478
COffshorePachyseris,C,Offshore,Pachyseris,C40-sp,10,2,OPA2-4,t,0.000490901,9.67E-07,0.000387561,648.1175599,4.3200735,166,0.07,268153.661,614828.4338,4.65E-09,1579,24533,0.579115044,0.6510908
COffshorePachyseris,C,Offshore,Pachyseris,C40-sp,10,3,OPA3-4,t,0.000445038,6.30E-07,0.000283769,715.2360603,3.054412188,174,0.06,369738.516,1249409.029,1.68E-09,1438,24286,0.5664801,0.618116142
COffshorePachyseris,C,Offshore,Pachyseris,trenchii,10,4,OPA4-4,t,0.00052165,7.91E-07,0.000243093,402.7089083,2.922752048,201,0.05,326871.225,824916.3041,3.26E-09,1757,25278,0.533548766,0.33805842
COffshorePachyseris,C,Offshore,Pachyseris,C40-sp,10,5,OPA5-4,t,0.000409085,8.59E-07,2.87E-05,635.2724708,2.218801272,183,0.05,299583.1695,1323211.285,2.36E-09,1602,23202,0.54510665,0.847848401
COffshorePachyseris,C,Offshore,Pachyseris,C40-sp,10,6,OPA6-4,t,0.000677466,1.91E-06,0.000400172,588.2261727,2.626518464,164,0.08,339599.146,553041.203,3.47E-09,1530,24319,0.590909091,0.73881902
COffshorePachyseris,C,Offshore,Pachyseris,C40-sp,10,7,OPA7-4,t,0.000494664,7.87E-07,0.00064149,605.3419454,3.728481259,171,0.06,183535.7535,756448.9045,1.57E-09,2289,27432,0.539448364,0.967606816
COffshorePachyseris,C,Offshore,Pachyseris,trenchii,10,8,OPA8-4,t,0.000501614,7.73E-07,0.000584736,514.8401713,2.751628011,161,0.07,207712.2985,850125.842,2.71E-09,1926,30737,0.549333333,0.818413848
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,1,NPA1-5,t,0.000354188,5.37E-07,0.000227603,607.620434,3.207599441,253,0.05,202974.563,756530.9819,2.99E-09,2093,27849,0.384180468,1.108165138
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,2,NPA2-5,t,0.00041071,7.18E-07,0.000231645,542.3934846,3.312429424,187,0.06,176380.3635,737144.674,3.23E-09,1541,33394,0.458348188,0.59536401
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,3,NPA3-5,t,0.000981004,4.99E-06,0.000806136,618.1927888,6.750494295,188,0.05,163056.16,322501.3057,5.66E-09,2101,35771,0.412731481,1.03861046
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,4,NPA4-5,t,0.000643663,2.08E-06,0.000462084,509.3519732,2.568686156,199,0.06,166124.3045,401422.3783,3.29E-09,1627,30283,0.479298643,0.757481666
TNikkoPachyseris,T,Nikko,Pachyseris,trenchii,10,5,NPA5-5,t,0.000282689,4.62E-07,0.000204955,572.2432616,1.807451153,236,0.05,127929.7,624586.5096,2.91E-09,1500,33254,0.394736842,0.793020363
